Location,Latitude,Longitude
ACA,2.27008,32.52053
AIN,3.304225,31.11941
AKA,2.37258,32.67495
AMI,1.92483,33.156138
APU,2.07949,32.676195
BLA,3.4788533333,31.5936977778
BOL,3.2934,32.78246
CHU,2.606845,32.93758
DUK,3.2668,31.134205
GAN,3.252455,31.121625
GOR,3.26606,32.208055
KAG,1.8029557143,33.1035185714
KIL,2.746835,32.951615
KTC,3.1635,32.52233
LAG,3.440915,32.853345
LEA,3.59254,31.60702
NGO,3.66861,32.59131
OCA,2.42714,32.62831
OCU,1.8477275,33.155
OKS,3.260175,32.22439
OLE,2.35537,32.71575
OLO,3.4839,32.011625
OMI,3.0193,32.75548
ORB,3.69251,31.7801
OSG,3.200835,31.72268
OYA,3.486135,32.010335
PAG,3.3778090909,31.9941445455
PAW,3.61199,32.68167
TUM,3.24197,32.76076
UWA,2.24844,32.248855
