ABO,Abok
ACA,Acankoma
AG,Agoba B
AIN,Aina
AKA,Akayo-debe
AKA,Akayodebe
AKY,AkayoIdebe
ALE,Alege
ALI,Alim
ALI,Aliodri
AMI,Aminikawach
APU,Aputu-Lwaa
ASW,Aswa Bridge
ATM,Atanga Mission
BOL,Bola
CE,Cefo
CHU,Chua
DUK,Duku
GAN,Gangu
GOR,Gorodona
JIA,Jiako
KIL,Kilak
KTC,Kitgum town council
LAG,Lagwel
LAK,Lakwala
LEA,Lea
LIB,Liba
MOP,Moyipi
MWA,Mwanya
NGO,Ngomoromo
OCA,Ocala
OCL,Ocol
OCU,Oculoi
OD,Odworo
OGU,Oguk
OKS,Okidi South
OLE,Olepo
OLO,Olobo
OLW,Olwi
OMI,Omido
OPU,Opuyu
ORB,Orubakulemi
ORI,Ori
ORV,Orivu
OSG,Osugo East
OSG,Osugo West
PAW,Pawor
TEO,Te-Okot
TUM,Tumangu
UWA,Uganda Wildlife Authority
WEN,Wende
